Location Type,Incident Zip,City,Borough,Latitude,Longitude,num_calls
Street/Sidewalk,10026,NEW YORK,MANHATTAN,40.80221094,-73.95696675,44
Club/Bar/Restaurant,10016,NEW YORK,MANHATTAN,40.74225897,-73.98348641,14
Store/Commercial,10002,NEW YORK,MANHATTAN,40.72068841,-73.98711375,29
Residential Building/House,11419,SOUTH RICHMOND HILL,QUEENS,40.69120105,-73.82157618,10
House of Worship,11211,BROOKLYN,BROOKLYN,40.71894075,-73.95653712,12
Park/Playground,10014,NEW YORK,MANHATTAN,40.73908435,-74.00545255,16
Store/Commercial,10036,NEW YORK,MANHATTAN,40.75754542,-73.99256429,13
Street/Sidewalk,10028,NEW YORK,MANHATTAN,40.77738159,-73.94899244,22
Club/Bar/Restaurant,10036,NEW YORK,MANHATTAN,40.75755914,-73.99254985,34
Store/Commercial,10022,NEW YORK,MANHATTAN,40.75453592,-73.96875699,12
Residential Building/House,11356,COLLEGE POINT,QUEENS,40.7847389,-73.84577593,10
House of Worship,10003,NEW YORK,MANHATTAN,40.72937008,-73.9871229,69
Park/Playground,10036,NEW YORK,MANHATTAN,40.75820966,-73.99278079,14
Store/Commercial,11206,BROOKLYN,BROOKLYN,40.70700314,-73.93244766,28
Street/Sidewalk,11206,BROOKLYN,BROOKLYN,40.70393413,-73.94755188,464
Club/Bar/Restaurant,10464,BRONX,BRONX,40.84674341,-73.7862907,15
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72822197,-73.9812818,208
Residential Building/House,10011,NEW YORK,MANHATTAN,40.73306797,-73.99825,40
House of Worship,10003,NEW YORK,MANHATTAN,40.7269933,-73.98881908,23
Park/Playground,10009,NEW YORK,MANHATTAN,40.72891907,-73.98090277,36
Store/Commercial,10026,NEW YORK,MANHATTAN,40.80311646,-73.95631961,14
Street/Sidewalk,11249,BROOKLYN,BROOKLYN,40.71762841,-73.96344255,33
Club/Bar/Restaurant,11237,BROOKLYN,BROOKLYN,40.70000973,-73.91613554,16
Store/Commercial,11372,JACKSON HEIGHTS,QUEENS,40.75598052,-73.88143206,10
Residential Building/House,10014,NEW YORK,MANHATTAN,40.73044666,-74.00430446,10
House of Worship,10024,NEW YORK,MANHATTAN,40.78665655,-73.97575115,12
Park/Playground,10040,NEW YORK,MANHATTAN,40.85756814,-73.93217182,18
Store/Commercial,10013,NEW YORK,MANHATTAN,40.71915709,-74.01033185,32
Street/Sidewalk,10017,NEW YORK,MANHATTAN,40.7516051,-73.97089504,23
Club/Bar/Restaurant,10019,NEW YORK,MANHATTAN,40.76698914,-73.98350194,19
Store/Commercial,11209,BROOKLYN,BROOKLYN,40.6257805,-74.02415437,12
Residential Building/House,11212,BROOKLYN,BROOKLYN,40.65531376,-73.91606919,23
House of Worship,10002,NEW YORK,MANHATTAN,40.7193216,-73.98781748,71
Park/Playground,10310,STATEN ISLAND,STATEN ISLAND,40.63011491,-74.10888369,11
Store/Commercial,10018,NEW YORK,MANHATTAN,40.75228836,-73.983982,17
Street/Sidewalk,10030,NEW YORK,MANHATTAN,40.82043292,-73.94368811,18
Club/Bar/Restaurant,11237,BROOKLYN,BROOKLYN,40.69975139,-73.91568506,10
Store/Commercial,10026,NEW YORK,MANHATTAN,40.80597242,-73.95302703,19
Residential Building/House,11356,COLLEGE POINT,QUEENS,40.78145576,-73.84141438,29
House of Worship,11103,ASTORIA,QUEENS,40.75667858,-73.92086486,27
Park/Playground,11434,JAMAICA,QUEENS,40.6818709,-73.7660623,140
Store/Commercial,11226,BROOKLYN,BROOKLYN,40.65045904,-73.95746105,34
Street/Sidewalk,11235,BROOKLYN,BROOKLYN,40.57748673,-73.95960623,162
Club/Bar/Restaurant,10036,NEW YORK,MANHATTAN,40.759412,-73.99561425,57
Store/Commercial,11103,ASTORIA,QUEENS,40.76755509,-73.91202882,23
Residential Building/House,11361,BAYSIDE,QUEENS,40.76230119,-73.77033181,12
House of Worship,11432,JAMAICA,QUEENS,40.70774599,-73.78732064,10
Park/Playground,11435,JAMAICA,QUEENS,40.70222399,-73.81121022,41
Store/Commercial,11385,RIDGEWOOD,QUEENS,40.70504946,-73.90592938,16
Street/Sidewalk,11372,JACKSON HEIGHTS,QUEENS,40.74795437,-73.88094469,13
Club/Bar/Restaurant,10002,NEW YORK,MANHATTAN,40.71872911,-73.99224756,166
Store/Commercial,10019,NEW YORK,MANHATTAN,40.7655706,-73.9874408,18
Residential Building/House,10031,NEW YORK,MANHATTAN,40.82513813,-73.95139477,12
House of Worship,10002,NEW YORK,MANHATTAN,40.71954134,-73.98949493,40
Park/Playground,10019,NEW YORK,MANHATTAN,40.76412403,-73.98659635,14
Store/Commercial,11208,BROOKLYN,BROOKLYN,40.68432691,-73.86978716,19
Street/Sidewalk,11208,BROOKLYN,BROOKLYN,40.68499671,-73.86744578,15
Club/Bar/Restaurant,11249,BROOKLYN,BROOKLYN,40.7168144,-73.95883279,13
Store/Commercial,11103,ASTORIA,QUEENS,40.76455008,-73.91637195,15
Residential Building/House,11106,ASTORIA,QUEENS,40.76181566,-73.92332064,51
House of Worship,10029,NEW YORK,MANHATTAN,40.79904275,-73.94259015,24
Park/Playground,10461,BRONX,BRONX,40.83770759,-73.83458731,73
Store/Commercial,10026,NEW YORK,MANHATTAN,40.80450501,-73.95559267,31
Street/Sidewalk,11235,BROOKLYN,BROOKLYN,40.57572784,-73.96113718,15
Club/Bar/Restaurant,11238,BROOKLYN,BROOKLYN,40.6807742,-73.96274888,11
Store/Commercial,10033,NEW YORK,MANHATTAN,40.85203731,-73.93174731,17
Residential Building/House,10468,BRONX,BRONX,40.86281834,-73.90782477,58
House of Worship,11106,ASTORIA,QUEENS,40.76197072,-73.92538166,70
Park/Playground,10014,NEW YORK,MANHATTAN,40.73267818,-74.00330152,15
Store/Commercial,11215,BROOKLYN,BROOKLYN,40.67349156,-73.98271754,10
Street/Sidewalk,11217,BROOKLYN,BROOKLYN,40.67776602,-73.97287771,69
Club/Bar/Restaurant,10031,NEW YORK,MANHATTAN,40.82498995,-73.95148882,12
Store/Commercial,10009,NEW YORK,MANHATTAN,40.7226142,-73.97991607,180
Residential Building/House,10014,NEW YORK,MANHATTAN,40.7342125,-74.00329077,32
House of Worship,10009,NEW YORK,MANHATTAN,40.72709922,-73.98043787,61
Park/Playground,10019,NEW YORK,MANHATTAN,40.76580221,-73.97656017,10
Store/Commercial,10003,NEW YORK,MANHATTAN,40.72900793,-73.98865277,10
Street/Sidewalk,10019,NEW YORK,MANHATTAN,40.76348475,-73.98894652,33
Club/Bar/Restaurant,10029,NEW YORK,MANHATTAN,40.79769071,-73.93939131,12
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72252688,-73.98308363,32
Residential Building/House,10028,NEW YORK,MANHATTAN,40.77429071,-73.94830882,35
House of Worship,11249,BROOKLYN,BROOKLYN,40.71666424,-73.96113798,45
Park/Playground,11105,ASTORIA,QUEENS,40.7784632,-73.90916195,26
Store/Commercial,10012,NEW YORK,MANHATTAN,40.72771022,-73.99926759,59
Street/Sidewalk,10033,NEW YORK,MANHATTAN,40.84817343,-73.93778024,12
Club/Bar/Restaurant,11211,BROOKLYN,BROOKLYN,40.7110115,-73.95063394,38
Store/Commercial,10024,NEW YORK,MANHATTAN,40.78293275,-73.97994843,22
Residential Building/House,10461,BRONX,BRONX,40.83720479,-73.83423078,10
House of Worship,11237,BROOKLYN,BROOKLYN,40.70753974,-73.9216121,18
Park/Playground,10002,NEW YORK,MANHATTAN,40.71798239,-73.99029603,40
Store/Commercial,10016,NEW YORK,MANHATTAN,40.74527188,-73.97844042,87
Street/Sidewalk,11385,RIDGEWOOD,QUEENS,40.70254531,-73.90480405,16
Club/Bar/Restaurant,10307,STATEN ISLAND,STATEN ISLAND,40.51125535,-74.24109429,13
Store/Commercial,11238,BROOKLYN,BROOKLYN,40.68337461,-73.96634216,41
Residential Building/House,10013,NEW YORK,MANHATTAN,40.72032678,-73.9968939,20
House of Worship,10040,NEW YORK,MANHATTAN,40.85903026,-73.93082191,19
Park/Playground,10031,NEW YORK,MANHATTAN,40.82130084,-73.95792992,21
Store/Commercial,10002,NEW YORK,MANHATTAN,40.71465855,-73.99107207,12
Street/Sidewalk,11206,BROOKLYN,BROOKLYN,40.70427792,-73.93300946,25
Club/Bar/Restaurant,11220,BROOKLYN,BROOKLYN,40.64183599,-74.01737876,86
Store/Commercial,10454,BRONX,BRONX,40.8092114,-73.92282171,22
Residential Building/House,11385,RIDGEWOOD,QUEENS,40.71287692,-73.90517886,133
House of Worship,11417,OZONE PARK,QUEENS,40.67396577,-73.83966196,18
Park/Playground,10002,NEW YORK,MANHATTAN,40.72136648,-73.9882392,22
Store/Commercial,10029,NEW YORK,MANHATTAN,40.79876246,-73.94192943,25
Street/Sidewalk,11368,CORONA,QUEENS,40.74227881,-73.85511261,26
Club/Bar/Restaurant,10460,BRONX,BRONX,40.83750813,-73.86713108,27
Store/Commercial,11106,ASTORIA,QUEENS,40.76152081,-73.92573231,33
Residential Building/House,11103,ASTORIA,QUEENS,40.7648305,-73.91699251,39
House of Worship,11423,HOLLIS,QUEENS,40.7092334,-73.77562212,23
Park/Playground,11205,BROOKLYN,BROOKLYN,40.69471209,-73.95490489,34
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72234313,-73.9841768,15
Street/Sidewalk,11209,BROOKLYN,BROOKLYN,40.61265522,-74.03378786,33
Club/Bar/Restaurant,11205,BROOKLYN,BROOKLYN,40.69369409,-73.96354582,28
Store/Commercial,11249,BROOKLYN,BROOKLYN,40.72013698,-73.95527009,22
Residential Building/House,10031,NEW YORK,MANHATTAN,40.82996179,-73.94786086,44
House of Worship,10010,NEW YORK,MANHATTAN,40.74026159,-73.99051652,16
Park/Playground,10065,NEW YORK,MANHATTAN,40.7637552,-73.95896983,11
Store/Commercial,10002,NEW YORK,MANHATTAN,40.71763107,-73.99047284,42
Street/Sidewalk,11004,GLEN OAKS,QUEENS,40.73700362,-73.70990135,12
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.86568682,-73.92743455,13
Store/Commercial,11222,BROOKLYN,BROOKLYN,40.72696506,-73.95306829,26
Residential Building/House,11205,BROOKLYN,BROOKLYN,40.69470388,-73.95498423,61
House of Worship,11357,WHITESTONE,QUEENS,40.78884172,-73.81380307,16
Park/Playground,11206,BROOKLYN,BROOKLYN,40.70540944,-73.94462204,61
Store/Commercial,11211,BROOKLYN,BROOKLYN,40.70941165,-73.95847666,41
Street/Sidewalk,10014,NEW YORK,MANHATTAN,40.73150602,-74.00666066,17
Club/Bar/Restaurant,10128,NEW YORK,MANHATTAN,40.78303709,-73.95212964,12
Store/Commercial,11207,BROOKLYN,BROOKLYN,40.67637873,-73.89163203,10
Residential Building/House,10009,NEW YORK,MANHATTAN,40.72936969,-73.98399834,12
House of Worship,10022,NEW YORK,MANHATTAN,40.75907107,-73.96235496,10
Park/Playground,11226,BROOKLYN,BROOKLYN,40.64187522,-73.94860238,17
Store/Commercial,11221,BROOKLYN,BROOKLYN,40.69736915,-73.92388161,25
Street/Sidewalk,10018,NEW YORK,MANHATTAN,40.75637885,-73.99176672,12
Club/Bar/Restaurant,11206,BROOKLYN,BROOKLYN,40.71147227,-73.94389198,50
Store/Commercial,11372,JACKSON HEIGHTS,QUEENS,40.74737533,-73.88648557,19
Residential Building/House,10028,NEW YORK,MANHATTAN,40.77654198,-73.94963216,27
House of Worship,11106,ASTORIA,QUEENS,40.75538176,-73.9272046,36
Park/Playground,11217,BROOKLYN,BROOKLYN,40.68719196,-73.97461545,11
Store/Commercial,11103,ASTORIA,QUEENS,40.76577062,-73.91898768,33
Street/Sidewalk,10014,NEW YORK,MANHATTAN,40.73339718,-74.00633971,10
Club/Bar/Restaurant,10028,NEW YORK,MANHATTAN,40.77714218,-73.95406195,10
Store/Commercial,11223,BROOKLYN,BROOKLYN,40.5983312,-73.96093318,11
Residential Building/House,10013,NEW YORK,MANHATTAN,40.72001385,-73.99611108,13
House of Worship,11423,HOLLIS,QUEENS,40.70927153,-73.7754705,35
Park/Playground,10040,NEW YORK,MANHATTAN,40.8635725,-73.92601242,13
Store/Commercial,10036,NEW YORK,MANHATTAN,40.76428125,-73.9985813,10
Street/Sidewalk,10002,NEW YORK,MANHATTAN,40.71572366,-73.99322188,17
Club/Bar/Restaurant,11378,MASPETH,QUEENS,40.72659664,-73.89419134,11
Store/Commercial,11238,BROOKLYN,BROOKLYN,40.67985516,-73.96417712,15
Residential Building/House,10002,NEW YORK,MANHATTAN,40.71575091,-73.99037932,10
House of Worship,11103,ASTORIA,QUEENS,40.76755506,-73.91199994,38
Park/Playground,10012,NEW YORK,MANHATTAN,40.72735065,-74.00073963,14
Store/Commercial,11235,BROOKLYN,BROOKLYN,40.58286501,-73.95546643,23
Street/Sidewalk,10036,NEW YORK,MANHATTAN,40.75698226,-73.98708147,15
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.86579718,-73.91999746,15
Store/Commercial,11211,BROOKLYN,BROOKLYN,40.71291268,-73.95503686,12
Residential Building/House,10013,NEW YORK,MANHATTAN,40.72643651,-74.00565716,15
House of Worship,10019,NEW YORK,MANHATTAN,40.76583717,-73.99093525,37
Park/Playground,11222,BROOKLYN,BROOKLYN,40.7270994,-73.95268575,19
Store/Commercial,10453,BRONX,BRONX,40.85392249,-73.914604,12
Street/Sidewalk,11237,BROOKLYN,BROOKLYN,40.70088336,-73.9135053,97
Club/Bar/Restaurant,11377,WOODSIDE,QUEENS,40.74534875,-73.90350864,24
Store/Commercial,11237,BROOKLYN,BROOKLYN,40.70068821,-73.91314851,16
Residential Building/House,11206,BROOKLYN,BROOKLYN,40.70807123,-73.94332135,19
House of Worship,11211,BROOKLYN,BROOKLYN,40.71410134,-73.94888215,45
Park/Playground,10009,NEW YORK,MANHATTAN,40.72522408,-73.977848,29
Store/Commercial,11102,ASTORIA,QUEENS,40.77205768,-73.92543534,20
Street/Sidewalk,10012,NEW YORK,MANHATTAN,40.72909907,-74.00019123,17
Club/Bar/Restaurant,10001,NEW YORK,MANHATTAN,40.74715646,-73.99126982,13
Store/Commercial,11234,BROOKLYN,BROOKLYN,40.61682225,-73.93050381,10
Residential Building/House,11232,BROOKLYN,BROOKLYN,40.64799659,-73.99847926,54
House of Worship,11238,BROOKLYN,BROOKLYN,40.67298661,-73.96074525,29
Park/Playground,11206,BROOKLYN,BROOKLYN,40.71104762,-73.94551551,18
Store/Commercial,11220,BROOKLYN,BROOKLYN,40.64968702,-74.00921474,15
Street/Sidewalk,10014,NEW YORK,MANHATTAN,40.73128095,-74.00669672,217
Club/Bar/Restaurant,10013,NEW YORK,MANHATTAN,40.71961867,-73.99945166,69
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72898724,-73.97834105,53
Residential Building/House,10011,NEW YORK,MANHATTAN,40.73911741,-74.00104649,90
House of Worship,10011,NEW YORK,MANHATTAN,40.73278251,-73.99814176,12
Park/Playground,10009,NEW YORK,MANHATTAN,40.72971549,-73.98373486,11
Store/Commercial,10011,NEW YORK,MANHATTAN,40.73910094,-74.00100679,38
Street/Sidewalk,10301,STATEN ISLAND,STATEN ISLAND,40.63795072,-74.07940149,40
Club/Bar/Restaurant,10022,NEW YORK,MANHATTAN,40.75593546,-73.96773846,56
Store/Commercial,11417,OZONE PARK,QUEENS,40.67984155,-73.85133644,45
Residential Building/House,10040,NEW YORK,MANHATTAN,40.86111875,-73.92603322,32
House of Worship,10022,NEW YORK,MANHATTAN,40.75800513,-73.96819227,12
Park/Playground,10029,NEW YORK,MANHATTAN,40.79894934,-73.94241687,72
Store/Commercial,11211,BROOKLYN,BROOKLYN,40.71324261,-73.95649033,34
Street/Sidewalk,11378,MASPETH,QUEENS,40.72868941,-73.8955771,26
Club/Bar/Restaurant,10012,NEW YORK,MANHATTAN,40.72832504,-73.9994588,35
Store/Commercial,11226,BROOKLYN,BROOKLYN,40.6401488,-73.95527326,29
Residential Building/House,11106,ASTORIA,QUEENS,40.76434915,-73.92345851,15
House of Worship,11105,ASTORIA,QUEENS,40.7710846,-73.9082189,31
Park/Playground,11103,ASTORIA,QUEENS,40.76522074,-73.91392354,29
Store/Commercial,10003,NEW YORK,MANHATTAN,40.72706466,-73.98879381,12
Street/Sidewalk,11216,BROOKLYN,BROOKLYN,40.67780765,-73.94976442,29
Club/Bar/Restaurant,11232,BROOKLYN,BROOKLYN,40.65335105,-74.01191459,71
Store/Commercial,10031,NEW YORK,MANHATTAN,40.8244039,-73.94820124,18
Residential Building/House,11249,BROOKLYN,BROOKLYN,40.71484896,-73.96670864,15
House of Worship,10040,NEW YORK,MANHATTAN,40.8645253,-73.92661874,31
Park/Playground,11237,BROOKLYN,BROOKLYN,40.70694747,-73.92250008,105
Store/Commercial,11230,BROOKLYN,BROOKLYN,40.6109084,-73.96256096,18
Street/Sidewalk,10012,NEW YORK,MANHATTAN,40.72860227,-74.00006494,41
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.86631495,-73.91859765,17
Store/Commercial,11105,ASTORIA,QUEENS,40.77576316,-73.91015493,29
Residential Building/House,11218,BROOKLYN,BROOKLYN,40.64505314,-73.97045865,10
House of Worship,11412,SAINT ALBANS,QUEENS,40.69298072,-73.75759951,19
Park/Playground,10034,NEW YORK,MANHATTAN,40.86606038,-73.92787523,11
Store/Commercial,10468,BRONX,BRONX,40.86812319,-73.90044165,10
Street/Sidewalk,10025,NEW YORK,MANHATTAN,40.80277161,-73.9676363,50
Club/Bar/Restaurant,11423,HOLLIS,QUEENS,40.71159894,-73.76983199,12
Store/Commercial,10009,NEW YORK,MANHATTAN,40.7223651,-73.98423091,13
Residential Building/House,10003,NEW YORK,MANHATTAN,40.73002665,-73.99418378,11
House of Worship,11211,BROOKLYN,BROOKLYN,40.714248,-73.95164157,22
Park/Playground,11375,FOREST HILLS,QUEENS,40.71021523,-73.84925599,110
Store/Commercial,11220,BROOKLYN,BROOKLYN,40.63820736,-74.01750752,16
Street/Sidewalk,10012,NEW YORK,MANHATTAN,40.72837719,-74.00077211,26
Club/Bar/Restaurant,11206,BROOKLYN,BROOKLYN,40.69817416,-73.94445134,10
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72417851,-73.9788008,24
Residential Building/House,11375,FOREST HILLS,QUEENS,40.72061916,-73.8460614,12
House of Worship,11208,BROOKLYN,BROOKLYN,40.68187155,-73.87841625,75
Park/Playground,10019,NEW YORK,MANHATTAN,40.76409108,-73.98651694,15
Store/Commercial,10466,BRONX,BRONX,40.90141806,-73.84689427,13
Street/Sidewalk,11222,BROOKLYN,BROOKLYN,40.73316801,-73.95979691,39
Club/Bar/Restaurant,11206,BROOKLYN,BROOKLYN,40.70191143,-73.93697905,16
Store/Commercial,10034,NEW YORK,MANHATTAN,40.87289918,-73.918181,22
Residential Building/House,11104,SUNNYSIDE,QUEENS,40.74366173,-73.92306726,30
House of Worship,10033,NEW YORK,MANHATTAN,40.84723219,-73.93812449,24
Park/Playground,11103,ASTORIA,QUEENS,40.75729856,-73.92037322,339
Store/Commercial,11209,BROOKLYN,BROOKLYN,40.62408812,-74.0308145,33
Street/Sidewalk,10009,NEW YORK,MANHATTAN,40.7260542,-73.98532322,10
Club/Bar/Restaurant,11106,ASTORIA,QUEENS,40.76114066,-73.92362824,15
Store/Commercial,11238,BROOKLYN,BROOKLYN,40.68031093,-73.96463115,13
Residential Building/House,10001,NEW YORK,MANHATTAN,40.74521326,-73.99236718,17
House of Worship,10019,NEW YORK,MANHATTAN,40.76303703,-73.98595762,16
Park/Playground,10001,NEW YORK,MANHATTAN,40.74562238,-73.99525427,13
Store/Commercial,10013,NEW YORK,MANHATTAN,40.72009035,-74.00984497,10
Street/Sidewalk,10024,NEW YORK,MANHATTAN,40.78583881,-73.97666145,14
Club/Bar/Restaurant,10012,NEW YORK,MANHATTAN,40.72874499,-74.0003175,20
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72506594,-73.98426995,42
Residential Building/House,11103,ASTORIA,QUEENS,40.76567165,-73.91876037,123
House of Worship,11234,BROOKLYN,BROOKLYN,40.61956208,-73.92693127,49
Park/Playground,10012,NEW YORK,MANHATTAN,40.73043027,-74.00012268,12
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72517834,-73.98328499,10
Street/Sidewalk,10003,NEW YORK,MANHATTAN,40.7271881,-73.98805056,29
Club/Bar/Restaurant,11217,BROOKLYN,BROOKLYN,40.68716729,-73.97475969,81
Store/Commercial,10018,NEW YORK,MANHATTAN,40.75608531,-73.99432588,16
Residential Building/House,10002,NEW YORK,MANHATTAN,40.72223139,-73.99174569,14
House of Worship,11215,BROOKLYN,BROOKLYN,40.6670974,-73.99465067,10
Park/Playground,10018,NEW YORK,MANHATTAN,40.7567221,-73.99444494,10
Store/Commercial,10014,NEW YORK,MANHATTAN,40.73248569,-74.00968804,71
Street/Sidewalk,10031,NEW YORK,MANHATTAN,40.82575824,-73.95093905,12
Club/Bar/Restaurant,10033,NEW YORK,MANHATTAN,40.85209219,-73.93171834,12
Store/Commercial,10022,NEW YORK,MANHATTAN,40.75927139,-73.96221046,10
Residential Building/House,11378,MASPETH,QUEENS,40.72662405,-73.89415161,38
House of Worship,10026,NEW YORK,MANHATTAN,40.80203533,-73.9570969,19
Park/Playground,10013,NEW YORK,MANHATTAN,40.72228652,-74.0035824,12
Store/Commercial,11375,FOREST HILLS,QUEENS,40.72056678,-73.84589557,15
Street/Sidewalk,11208,BROOKLYN,BROOKLYN,40.68280954,-73.87517678,11
Club/Bar/Restaurant,11215,BROOKLYN,BROOKLYN,40.6763246,-73.98589657,26
Store/Commercial,10019,NEW YORK,MANHATTAN,40.76005873,-73.9840054,18
Residential Building/House,10003,NEW YORK,MANHATTAN,40.73486525,-73.98875642,11
House of Worship,10002,NEW YORK,MANHATTAN,40.7192033,-73.98549789,36
Park/Playground,10310,STATEN ISLAND,STATEN ISLAND,40.63798634,-74.10954149,51
Store/Commercial,10002,NEW YORK,MANHATTAN,40.72262119,-73.9924347,47
Street/Sidewalk,11103,ASTORIA,QUEENS,40.76193294,-73.91084501,12
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.72436787,-73.97866364,40
Store/Commercial,10022,NEW YORK,MANHATTAN,40.75851818,-73.967434,14
Residential Building/House,11249,BROOKLYN,BROOKLYN,40.71100589,-73.96536874,31
House of Worship,10040,NEW YORK,MANHATTAN,40.8605242,-73.92768963,14
Park/Playground,10025,NEW YORK,MANHATTAN,40.79890019,-73.96311619,23
Store/Commercial,11206,BROOKLYN,BROOKLYN,40.708612,-73.94342188,24
Street/Sidewalk,10003,NEW YORK,MANHATTAN,40.73123668,-73.98868847,16
Club/Bar/Restaurant,11417,OZONE PARK,QUEENS,40.68207809,-73.83682297,38
Store/Commercial,11207,BROOKLYN,BROOKLYN,40.67699328,-73.88846565,12
Residential Building/House,11206,BROOKLYN,BROOKLYN,40.70731187,-73.93976925,14
House of Worship,10033,NEW YORK,MANHATTAN,40.85032261,-73.93301057,106
Park/Playground,10028,NEW YORK,MANHATTAN,40.77641157,-73.95280236,17
Store/Commercial,11377,WOODSIDE,QUEENS,40.7468511,-73.90140603,23
Street/Sidewalk,11249,BROOKLYN,BROOKLYN,40.71837662,-73.96009803,61
Club/Bar/Restaurant,11201,BROOKLYN,BROOKLYN,40.69319208,-73.99858642,10
Store/Commercial,10308,STATEN ISLAND,STATEN ISLAND,40.54154749,-74.1466613,40
Residential Building/House,10034,NEW YORK,MANHATTAN,40.86637626,-73.92826174,94
House of Worship,11234,BROOKLYN,BROOKLYN,40.61678654,-73.93046423,166
Park/Playground,11249,BROOKLYN,BROOKLYN,40.71996962,-73.95544697,111
Store/Commercial,10469,BRONX,BRONX,40.87910982,-73.84324268,12
Street/Sidewalk,11372,JACKSON HEIGHTS,QUEENS,40.75549389,-73.88606747,13
Club/Bar/Restaurant,11103,ASTORIA,QUEENS,40.76001899,-73.9170346,21
Store/Commercial,10128,NEW YORK,MANHATTAN,40.78091958,-73.94905834,12
Residential Building/House,10040,NEW YORK,MANHATTAN,40.86422327,-73.9264383,12
House of Worship,10013,NEW YORK,MANHATTAN,40.72257198,-74.0036221,22
Park/Playground,11205,BROOKLYN,BROOKLYN,40.68910459,-73.95506734,49
Store/Commercial,10028,NEW YORK,MANHATTAN,40.77760484,-73.95112256,14
Street/Sidewalk,10022,NEW YORK,MANHATTAN,40.75613305,-73.96760482,18
Club/Bar/Restaurant,11372,JACKSON HEIGHTS,QUEENS,40.75579024,-73.88325157,30
Store/Commercial,10022,NEW YORK,MANHATTAN,40.75581747,-73.96783598,20
Residential Building/House,11211,BROOKLYN,BROOKLYN,40.71808545,-73.95228812,11
House of Worship,11218,BROOKLYN,BROOKLYN,40.63831144,-73.96852676,42
Park/Playground,11375,FOREST HILLS,QUEENS,40.719228,-73.84232724,11
Store/Commercial,11211,BROOKLYN,BROOKLYN,40.71469129,-73.94268806,12
Street/Sidewalk,10003,NEW YORK,MANHATTAN,40.73419576,-73.99148441,45
Club/Bar/Restaurant,10028,NEW YORK,MANHATTAN,40.77521668,-73.95057551,16
Store/Commercial,10028,NEW YORK,MANHATTAN,40.77603408,-73.95603048,37
Residential Building/House,10009,NEW YORK,MANHATTAN,40.72251864,-73.98306559,10
House of Worship,11237,BROOKLYN,BROOKLYN,40.69897636,-73.91431922,40
Park/Playground,11103,ASTORIA,QUEENS,40.76756057,-73.91202159,18
Store/Commercial,10040,NEW YORK,MANHATTAN,40.85500852,-73.92958258,35
Street/Sidewalk,10028,NEW YORK,MANHATTAN,40.77718339,-73.9541558,25
Club/Bar/Restaurant,11249,BROOKLYN,BROOKLYN,40.71926915,-73.96152968,11
Store/Commercial,11203,BROOKLYN,BROOKLYN,40.66031861,-73.9397504,21
Residential Building/House,11209,BROOKLYN,BROOKLYN,40.61283368,-74.03364748,16
House of Worship,11230,BROOKLYN,BROOKLYN,40.61312358,-73.96295591,13
Park/Playground,10034,NEW YORK,MANHATTAN,40.86586537,-73.92766574,46
Store/Commercial,11232,BROOKLYN,BROOKLYN,40.65112833,-74.00403627,13
Street/Sidewalk,10012,NEW YORK,MANHATTAN,40.73052634,-74.00005412,22
Club/Bar/Restaurant,10003,NEW YORK,MANHATTAN,40.73281737,-73.98606141,14
Store/Commercial,10451,BRONX,BRONX,40.82365242,-73.92440559,15
Residential Building/House,10025,NEW YORK,MANHATTAN,40.80043804,-73.96571229,21
House of Worship,11420,SOUTH OZONE PARK,QUEENS,40.68020493,-73.82122343,21
Park/Playground,10314,STATEN ISLAND,STATEN ISLAND,40.61173799,-74.15883074,12
Store/Commercial,10462,BRONX,BRONX,40.83293256,-73.85128708,37
Street/Sidewalk,11217,BROOKLYN,BROOKLYN,40.68044536,-73.97483795,15
Club/Bar/Restaurant,11102,ASTORIA,QUEENS,40.76801683,-73.92043622,18
Store/Commercial,10023,NEW YORK,MANHATTAN,40.77753987,-73.98318159,10
Residential Building/House,10012,NEW YORK,MANHATTAN,40.72164427,-73.99732314,13
House of Worship,10016,NEW YORK,MANHATTAN,40.7454433,-73.98673003,13
Park/Playground,11368,CORONA,QUEENS,40.75283249,-73.8642104,12
Store/Commercial,10458,BRONX,BRONX,40.85381137,-73.88746427,48
Street/Sidewalk,11432,JAMAICA,QUEENS,40.71150171,-73.79079671,59
Club/Bar/Restaurant,11385,RIDGEWOOD,QUEENS,40.70923327,-73.90689374,20
Store/Commercial,10033,NEW YORK,MANHATTAN,40.85072806,-73.93650912,76
Residential Building/House,10040,NEW YORK,MANHATTAN,40.8549922,-73.92982479,11
House of Worship,10009,NEW YORK,MANHATTAN,40.727594,-73.98529401,11
Park/Playground,11417,OZONE PARK,QUEENS,40.67834635,-73.83190727,16
Store/Commercial,10036,NEW YORK,MANHATTAN,40.76359778,-73.99699657,42
